country,region,shipment_mode,product_group,vendor,scheduled_date,delivered_date,delay_days,status,quantity,line_item_value,weight_kg,freight_cost_usd
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-02-01,2007-02-01,0,On Time,117,9117.81,155,939.08
Rwanda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-02-01,2007-02-01,0,On Time,600,21480.0,55,913.15
Rwanda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-02-05,2007-02-05,0,On Time,400,38920.0,108,23000.34
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-05-18,2007-05-18,0,On Time,474,10191.0,221,710.68
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-05-18,2007-05-18,0,On Time,409,13251.6,45,348.09
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-05-18,2007-05-18,0,On Time,250,10275.0,105,348.09
Tanzania,Sub-Saharan Africa,Air,HRDT,SCMS from RDC,2007-05-31,2007-05-31,0,On Time,8009,160180.0,Weight Captured Separately,12740.42
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-04-17,2007-04-17,0,On Time,151,4892.4,See DN-44 (ID#:10549),
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-04-17,2007-04-17,0,On Time,2997,50949.0,See DN-44 (ID#:10549),
Rwanda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-05-14,2007-05-14,0,On Time,90,1935.0,120,11609.31
Tanzania,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-07-06,2007-07-06,0,On Time,6781,242759.8,675,2440.0
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-06-13,2007-06-13,0,On Time,570,20235.0,See DN-148 (ID#:10564),
Tanzania,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-07-06,2007-07-06,0,On Time,3386,25395.0,31,1589.0
Angola,Sub-Saharan Africa,Truck,HRDT,SCMS from RDC,2007-10-15,2007-10-15,0,On Time,150,12000.0,49,1012.59
Rwanda,Sub-Saharan Africa,Air,HRDT,SCMS from RDC,2007-08-22,2007-08-22,0,On Time,155,4960.0,55,1126.84
Rwanda,Sub-Saharan Africa,Air,HRDT,SCMS from RDC,2007-07-30,2007-07-30,0,On Time,250,8000.0,78,1324.61
Guyana,Latin America & Caribbean,Air,ARV,SCMS from RDC,2007-07-18,2007-07-18,0,On Time,209,1703.35,12,764.62
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-09-21,2007-09-21,0,On Time,165,239.25,15,350.78
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-07-06,2007-07-06,0,On Time,253,442.75,15,460.0
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-09-21,2007-09-21,0,On Time,143,5485.48,See DN-304 (ID#:10589),
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-09-21,2007-09-21,0,On Time,17191,300842.5,See DN-304 (ID#:10589),
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-08-27,2007-08-27,0,On Time,1859,6320.6,214,891.0
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-05,2007-11-05,0,On Time,1717,21325.14,151,1157.58
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-10-15,2007-10-15,0,On Time,1577,124015.28,3023,13721.28
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-22,2007-11-22,0,On Time,821,57470.0,186,549.44
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-09-20,2007-09-20,0,On Time,614,2032.34,See DN-373 (ID#:10623),
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-09-20,2007-09-20,0,On Time,600,2142.0,See DN-373 (ID#:10623),
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-09-20,2007-09-20,0,On Time,390,1010.1,See DN-373 (ID#:10623),
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,SCMS from RDC,2007-10-02,2007-10-02,0,On Time,350,25200.0,See DN-376 (ID#:10628),
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-16,2007-11-16,0,On Time,100,224.0,118,1616.04
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-29,2007-11-29,0,On Time,500,700.0,See DN-426 (ID#:10633),
Zimbabwe,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-16,2007-11-16,0,On Time,1,2.0,63,598.08
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-12-10,2007-12-10,0,On Time,1650,22275.0,197,1637.0
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-12-10,2007-12-10,0,On Time,42,1102.5,464,3393.0
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-01-24,2008-01-24,0,On Time,3119,0.0,1088,2951.94
Ethiopia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-02-20,2008-02-20,0,On Time,219,383.25,16,472.5
Ethiopia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-12-20,2007-12-20,0,On Time,1184,20128.0,49,639.75
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-01-17,2008-01-17,0,On Time,479,19686.9,421,5947.88
Ethiopia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-12-20,2007-12-20,0,On Time,1926,4140.9,807,2511.67
Zimbabwe,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-01-14,2008-01-14,0,On Time,627,7787.34,See DN-488 (ID#:10652),
Zimbabwe,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-03-05,2008-03-05,0,On Time,37240,275576.0,4080,13317.2
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-03-08,2008-03-08,0,On Time,100,1550.0,195,2587.9
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-04-08,2008-04-05,-3,On Time,213,14910.0,See DN-628 (ID#:10654),
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-04-08,2008-04-05,-3,On Time,343,17150.0,See DN-628 (ID#:10654),
Ethiopia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-12-17,2007-12-17,0,On Time,1692,27072.0,182,1722.0
Ethiopia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-01-10,2008-01-10,0,On Time,591,10047.0,37,504.0
Rwanda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-01-28,2008-01-28,0,On Time,3150,9576.0,165,2559.28
Zimbabwe,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-02-05,2008-02-05,0,On Time,1600,3200.0,See DN-479 (ID#:10647),
Ethiopia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-01-31,2008-01-31,0,On Time,7511,25537.4,732,2724.27
Guyana,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-01-24,2008-01-24,0,On Time,1008,9576.0,See DN-557 (ID#:10663),
Tanzania,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-02-25,2008-02-25,0,On Time,2273,17615.75,2749,10654.94
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-03-06,2008-02-05,-30,On Time,5538,276900.0,1230,4680.1
Ethiopia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-02-05,2008-02-05,0,On Time,10000,81500.0,574,3787.32
Mozambique,Sub-Saharan Africa,Air,HRDT,SCMS from RDC,2008-02-29,2008-02-29,0,On Time,4300,43.0,See DN-597 (ID#:10671),
Zimbabwe,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-04-21,2008-04-21,0,On Time,1600,3200.0,2519,15252.7
Zimbabwe,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-04-21,2008-04-21,0,On Time,37240,275576.0,See DN-709 (ID#:10945),
Tanzania,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-07-09,2008-07-09,0,On Time,11181,32536.71,566,3594.6
Zambia,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2008-07-29,2008-07-29,0,On Time,12000,24000.0,700,954.13
Tanzania,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-07-29,2008-07-29,0,On Time,50288,170979.2,See DN-826 (ID#:10674),
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-06-02,2008-06-02,0,On Time,1080,1890.0,4668,8787.28
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-06-19,2008-06-19,0,On Time,20,1000.0,1024,5226.6
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-05-27,2008-05-27,0,On Time,7380,21475.8,See DN-743 (ID#:10683),
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-04-08,2008-05-16,38,Delayed,73012,540288.8,14083,11053.53
Zambia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-03-28,2008-03-28,0,On Time,4332,53803.44,338,1890.76
Zimbabwe,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-06-09,2008-06-09,0,On Time,1600,3200.0,422,3335.15
Zambia,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2008-08-20,2008-08-20,0,On Time,40000,288000.0,7393,6051.02
Haiti,Latin America & Caribbean,Air,HRDT,SCMS from RDC,2008-04-03,2008-04-03,0,On Time,25,1800.0,See DN-686 (ID#:10691),
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-03-21,2008-03-21,0,On Time,160,2640.0,938,11340.2
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-07-11,2008-07-11,0,On Time,4296,9021.6,1600,10314.28
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-07-04,2008-07-04,0,On Time,15000,393750.0,1365,9904.65
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-07-11,2008-07-11,0,On Time,1061,3607.4,106,1054.52
Kenya,Sub-Saharan Africa,Truck,HRDT,SCMS from RDC,2008-03-26,2008-03-26,0,On Time,240,1200.0,751,190.06
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-04-21,2008-04-21,0,On Time,760,7182.0,199,1917.53
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-04-21,2008-04-21,0,On Time,16,22.4,See DN-718 (ID#:10968),
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-06-23,2008-06-23,0,On Time,1428,71400.0,2955,4551.52
Ethiopia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-03-21,2008-03-21,0,On Time,65524,622478.0,14599,32146.52
Zimbabwe,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-03-30,2008-03-30,0,On Time,37240,275576.0,See DN-687 (ID#:10697),
Guyana,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-05-09,2008-05-09,0,On Time,150,12330.0,34,1608.7
Haiti,Latin America & Caribbean,Air,HRDT,SCMS from RDC,2008-03-19,2008-03-19,0,On Time,30,2160.0,7,774.84
Zimbabwe,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2008-07-26,2008-07-26,0,On Time,66268,490383.2,6606,22666.98
Zimbabwe,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2008-07-26,2008-07-26,0,On Time,8000,16000.0,See DN-813 (ID#:10979),
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-08-07,2008-08-07,0,On Time,38975,280620.0,13123,9161.95
Tanzania,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-07-09,2008-07-09,0,On Time,11640,90210.0,16778,9043.65
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-10-20,2008-10-20,0,On Time,20186,64595.2,4218,43041.34
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-02-09,2009-02-09,0,On Time,15048,140698.8,1448,3613.31
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-01-20,2009-01-20,0,On Time,720,6732.0,66,772.04
Tanzania,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-10-21,2008-10-21,0,On Time,90323,668390.2,9635,52979.7
Kenya,Sub-Saharan Africa,Truck,HRDT,SCMS from RDC,2008-10-21,2008-10-21,0,On Time,5000,50.0,Weight Captured Separately,
Zambia,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2008-12-01,2008-12-01,0,On Time,44432,151068.8,2503,3629.37
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-08-25,2008-08-25,0,On Time,35400,120360.0,1987,14931.8
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-11-17,2008-11-17,0,On Time,10000,262500.0,878,4401.4
Zambia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-08-27,2008-08-27,0,On Time,32017,124866.3,2353,3210.18
Zambia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-10-20,2008-10-20,0,On Time,3200,6720.0,1120,8185.2
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-12-03,2008-12-03,0,On Time,21225,72165.0,2521,14336.95
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-02-04,2009-02-04,0,On Time,20000,236000.0,2283,13586.1
Zimbabwe,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2009-02-16,2009-02-16,0,On Time,76000,562400.0,8912,35513.01
Mozambique,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2008-09-05,2008-09-05,0,On Time,80000,576000.0,11515,
Tanzania,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2008-09-23,2008-09-23,0,On Time,123317,912545.8,13253,64506.78
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-03-19,2009-03-19,0,On Time,1893,22337.4,215,2408.91
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-12-09,2008-12-09,0,On Time,42,1726.2,123,845.37
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-02-11,2009-02-11,0,On Time,3271,55476.16,933,3409.91
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2009-03-03,2009-03-03,0,On Time,325,5512.0,2085,23866.2
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2009-03-03,2009-03-03,0,On Time,56,2800.0,See DN-1100 (ID#:11005),
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2009-03-03,2009-03-03,0,On Time,5216,10014.72,See DN-1100 (ID#:11005),
Zimbabwe,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2009-04-06,2009-04-06,0,On Time,76000,562400.0,8848,37040.86
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-04-27,2009-04-27,0,On Time,40,1644.0,52,1287.77
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-04-30,2009-04-30,0,On Time,23524,206070.24,3155,9021.82
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-09-24,2008-09-24,0,On Time,2,76.72,See DN-917 (ID#:10745),
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-11-04,2008-11-04,0,On Time,1000,1500.0,10435,121330.06
Zambia,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2008-08-20,2008-08-20,0,On Time,5000,60050.0,4247,8231.95
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-11-04,2008-11-04,0,On Time,1000,15260.0,See DN-944 (ID#:11012),
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-01-19,2009-01-19,0,On Time,12304,322980.0,5197,21895.01
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-01-19,2009-01-19,0,On Time,139,3648.75,192,13538.35
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-12-02,2008-12-02,0,On Time,500,1450.0,26,1096.71
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-10-27,2008-10-27,0,On Time,8192,90112.0,9516,101348.75
Ethiopia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-01-29,2009-01-29,0,On Time,3068,52156.0,2002,10460.94
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-12-10,2008-12-10,0,On Time,8100,23571.0,404,5866.29
Zambia,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2008-09-29,2008-09-29,0,On Time,50000,600500.0,3842,15281.81
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-12-01,2008-12-01,0,On Time,32256,301593.6,5589,22758.49
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-03-24,2009-03-24,0,On Time,2871,75363.75,249,6443.61
Nigeria,Sub-Saharan Africa,Air Charter,ARV,SCMS from RDC,2009-03-19,2009-03-19,0,On Time,5426,61856.4,610,
Nigeria,Sub-Saharan Africa,Air Charter,ARV,SCMS from RDC,2009-03-19,2009-03-19,0,On Time,49385,562989.0,5553,11492.86
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-04-28,2009-04-28,0,On Time,12480,512928.0,2803,8669.38
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-03-20,2009-03-20,0,On Time,4660,31361.8,Weight Captured Separately,
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-08-11,2008-08-11,0,On Time,210,3360.0,26,997.46
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-03-23,2009-03-23,0,On Time,365,15001.5,Weight Captured Separately,
Zimbabwe,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2009-04-27,2009-04-27,0,On Time,4000,48040.0,8523,35673.58
Rwanda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-04-27,2009-04-27,0,On Time,7350,22050.0,404,3366.98
Tanzania,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2009-05-11,2009-05-11,0,On Time,37440,982800.0,5712,5873.0
Kenya,Sub-Saharan Africa,Truck,HRDT,SCMS from RDC,2009-04-27,2009-04-27,0,On Time,15000,1200000.0,See DN-1189 (ID#:10759),
Nigeria,Sub-Saharan Africa,Air Charter,ARV,SCMS from RDC,2009-05-08,2009-05-08,0,On Time,69491,792197.4,7798,15128.37
Guyana,Latin America & Caribbean,Air,ARV,SCMS from RDC,2009-05-12,2009-05-12,0,On Time,489,3770.19,28,1047.24
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-06-01,2009-06-01,0,On Time,260,6825.0,28,1180.71
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-05-22,2009-05-22,0,On Time,90,219.6,5,537.32
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-06-01,2009-06-01,0,On Time,100,4110.0,23,1152.63
Mozambique,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2009-06-28,2009-06-28,0,On Time,2106,5138.64,3545,3599.76
Ghana,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2009-08-12,2009-08-12,0,On Time,150,1.5,See DN-1235 (ID#:10769),
Swaziland,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-05-21,2009-05-21,0,On Time,1250,11250.0,1787,12798.04
Zambia,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2009-06-08,2009-06-08,0,On Time,100000,1100000.0,7735,15922.67
Nigeria,Sub-Saharan Africa,Air Charter,ARV,SCMS from RDC,2009-06-16,2009-06-16,0,On Time,5512,39245.44,1165,7329.83
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-06-05,2009-06-05,0,On Time,264,2312.64,27,1012.18
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-06-01,2009-06-01,0,On Time,105,809.55,6,1053.86
Nigeria,Sub-Saharan Africa,Air Charter,ARV,SCMS from RDC,2009-06-16,2009-06-16,0,On Time,21765,154966.8,1984,7329.83
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-06-22,2009-06-22,0,On Time,11216,127301.6,1894,13293.41
Nigeria,Sub-Saharan Africa,Air Charter,ARV,SCMS from RDC,2009-06-16,2009-06-16,0,On Time,3994,45531.6,452,7329.83
Nigeria,Sub-Saharan Africa,Air Charter,ARV,SCMS from RDC,2009-06-16,2009-06-16,0,On Time,3000,45780.0,See DN-1296 (ID#:10779),
Guyana,Latin America & Caribbean,Air,ARV,SCMS from RDC,2009-06-18,2009-06-18,0,On Time,810,6245.1,47,1000.51
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-08-19,2009-08-19,0,On Time,10480,39824.0,786,11032.42
Zambia,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2009-09-04,2009-09-04,0,On Time,37059,407649.0,2876,4506.18
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2009-07-31,2009-07-31,0,On Time,1092,2446.08,1585,6811.39
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2009-07-31,2009-07-31,0,On Time,2304,4423.68,See DN-1373 (ID#:11062),
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-09-08,2009-09-08,0,On Time,2052,3591.0,See DN-1401 (ID#:10793),
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-09-14,2009-09-14,0,On Time,192,1445.76,11,1112.31
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-10-08,2009-10-08,0,On Time,3740,26441.8,322,3054.1
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-09-28,2009-09-28,0,On Time,8732,25322.8,485,7302.48
Nigeria,Sub-Saharan Africa,Air Charter,ARV,SCMS from RDC,2009-10-20,2009-10-20,0,On Time,441,5181.75,36,9341.49
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-10-07,2009-10-07,0,On Time,576,6768.0,47,1234.91
Lebanon,Middle East & North Africa,Air,ARV,SCMS from RDC,2009-11-18,2009-11-18,0,On Time,200,2.0,Weight Captured Separately,
Lebanon,Middle East & North Africa,Air,ARV,SCMS from RDC,2009-11-18,2009-11-18,0,On Time,100,1.0,Weight Captured Separately,
Lebanon,Middle East & North Africa,Air,ARV,SCMS from RDC,2009-11-24,2009-11-24,0,On Time,42,0.42,Weight Captured Separately,
Zambia,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2009-10-29,2009-10-29,0,On Time,34036,196728.08,2901,4897.42
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2009-12-11,2009-12-11,0,On Time,2510,9789.0,190,1317.4
Nigeria,Sub-Saharan Africa,Air Charter,ARV,SCMS from RDC,2009-12-18,2009-12-18,0,On Time,3,34.2,1,
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2010-02-23,2010-02-23,0,On Time,1788,5721.6,205,1380.45
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2010-02-19,2010-01-22,-28,On Time,5,58.75,1,19480.97
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-01-09,2007-01-09,0,On Time,1217,69429.85,See DN-17 (ID#:10541),
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-01-09,2007-01-09,0,On Time,6156,68577.84,See DN-17 (ID#:10541),
Rwanda,Sub-Saharan Africa,Air,HRDT,SCMS from RDC,2007-04-10,2007-04-10,0,On Time,60,8340.0,353,3684.6
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-06-01,2007-06-01,0,On Time,25003,418800.25,2177,2912.01
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-04-17,2007-04-17,0,On Time,460,9683.0,See DN-44 (ID#:10549),
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-06-08,2007-06-08,0,On Time,4444,159095.2,633,
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-07-10,2007-07-10,0,On Time,4515,10113.6,259,1574.0
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-07-12,2007-07-12,0,On Time,397,8356.85,141,411.07
Tanzania,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-08-13,2007-08-13,0,On Time,3000,123300.0,1422,4198.0
Tanzania,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-07-30,2007-07-30,0,On Time,157,6022.52,547,2094.0
Haiti,Latin America & Caribbean,Air,HRDT,SCMS from RDC,2007-08-07,2007-08-07,0,On Time,75,10425.0,50,791.84
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-10-10,2007-10-10,0,On Time,400,6780.0,3340,3438.84
Rwanda,Sub-Saharan Africa,Air,HRDT,SCMS from RDC,2007-07-16,2007-07-16,0,On Time,150,20850.0,130,1676.91
Tanzania,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-08-29,2007-08-29,0,On Time,23814,387215.64,2102,5834.0
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-09-21,2007-09-21,0,On Time,271,4593.45,See DN-304 (ID#:10589),
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-05,2007-11-05,0,On Time,1717,21325.14,See DN-362 (ID#:10600),
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-10-05,2007-10-05,0,On Time,200,608.0,4241,25442.0
Côte d'Ivoire,Sub-Saharan Africa,Air,HRDT,SCMS from RDC,2007-10-22,2007-10-22,0,On Time,595,42834.05,200,1642.0
Nigeria,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-12-04,2007-12-04,0,On Time,400,6400.0,38,1161.13
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-22,2007-11-22,0,On Time,24140,48280.0,1434,3682.34
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-13,2007-11-13,0,On Time,3300,146850.0,2143,10137.04
Zambia,Sub-Saharan Africa,Truck,ARV,SCMS from RDC,2008-02-21,2008-02-21,0,On Time,9943,33806.2,See DN-605 (ID#:10636),
Zambia,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-02-20,2008-02-20,0,On Time,900,14400.0,109,919.66
Mozambique,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2008-04-08,2008-04-08,0,On Time,50000,100000.0,3584,8405.91
Uganda,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-12-10,2007-12-10,0,On Time,3930,80565.0,See DN-435 (ID#:10908),
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-29,2007-11-29,0,On Time,14000,24500.0,989,3452.0
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-29,2007-11-29,0,On Time,3996,6993.0,See DN-440 (ID#:11200),
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-22,2007-11-22,0,On Time,4077,69186.69,1554,4963.0
Haiti,Latin America & Caribbean,Air,ARV,SCMS from RDC,2008-01-22,2008-01-22,0,On Time,100,224.0,See DN-445 (ID#:10640),
Côte d'Ivoire,Sub-Saharan Africa,Air,ARV,SCMS from RDC,2007-11-30,2007-11-30,0,On Time,995,69650.0,219,1392.0
